category	image	question	gt	pred
landmark	0d7716f4aed0c9fa.txt	Is this a photo of Grumentum, Parco archeologico? Please answer yes or no.	No	Yes
landmark	01425c4d35880aad.txt	Is this an image of Museu de Sant Boi de Llobregat? Please answer yes or no.	Yes	No
landmark	05d56e249af839e7.txt	Is this a photo of Serbian Orthodox Cathedral in Sarajevo? Please answer yes or no.	Yes	No
landmark	09232aeaf46dec64.txt	Is this a picture of Gwangtonggwan? Please answer yes or no.	No	Yes
landmark	010260e62e7d847d.txt	Is this a photo of Teutsche Schule (Schleusingen)? Please answer yes or no.	No	Yes
landmark	010b5b5c9c461f65.txt	Is this an image of Castello di Montalto Dora? Please answer yes or no.	No	Yes
landmark	03f65f52c0077b6c.txt	Is this a photo of Reading Lighthouse? Please answer yes or no.	Yes	No
landmark	0743e58605497887.txt	Is this an image of Burg Horn? Please answer yes or no.	No	Yes
landmark	034d066523bb20d1.txt	Is this a photo of Atami Castle? Please answer yes or no.	No	Yes
landmark	05b01b255cec2bfb.txt	Is this a photo of Puthoorppilly Sree Krishnaswamy Temple? Please answer yes or no.	Yes	No
landmark	029431b10472c228.txt	Is this a picture of Santa Caterina (Sassari)? Please answer yes or no.	Yes	No
landmark	029431b10472c228.txt	Is this a picture of Former Tainan Assembly Hall? Please answer yes or no.	No	Yes
landmark	0273f127895337be.txt	Is this a photo of Huxi Mosque? Please answer yes or no.	No	Yes
landmark	06134984e2aa9bcc.txt	Is this a picture of Goldeck? Please answer yes or no.	No	Yes
landmark	01b9b58a573c45f0.txt	Is this a picture of Kirche zur Heiligsten Dreifaltigkeit, Vienna? Please answer yes or no.	No	Yes
landmark	07ed43dd266b669b.txt	Is this a photo of Rocky Mountain National Park? Please answer yes or no.	Yes	No
landmark	07ed43dd266b669b.txt	Is this a photo of Col-des-Roches? Please answer yes or no.	No	Yes
landmark	00fa476690a260a8.txt	Is this an image of Moose River Plains Wild Forest? Please answer yes or no.	No	Yes
landmark	1ac0e3c493073995.txt	Is this an image of Silte kyrka? Please answer yes or no.	No	Yes
landmark	0b4240b5ef69362e.txt	Is this a photo of Bray Wick? Please answer yes or no.	No	Yes
landmark	0205343362e60daf.txt	Is this a picture of Simon en Judaskerk (Ootmarsum)? Please answer yes or no.	No	Yes
landmark	0613d7e8f292ee15.txt	Is this a photo of Museo Archeologico G. Rambotti? Please answer yes or no.	Yes	No
landmark	0443da4f4fcdea52.txt	Is this an image of Port of Funchal? Please answer yes or no.	Yes	No
landmark	070c8d6326a87397.txt	Is this an image of Tramway du Cap-Ferret? Please answer yes or no.	No	Yes
landmark	1023b7ec812bb4c6.txt	Is this a photo of Fagervik Church? Please answer yes or no.	No	Yes
landmark	036b60d84c6ebc63.txt	Is this a photo of Karl-Bittel-Park? Please answer yes or no.	No	Yes
landmark	17e0cd732e35d4aa.txt	Is this a photo of Millennium Tower (San Francisco, California)? Please answer yes or no.	Yes	No
landmark	0023bd687cbc0a44.txt	Is this a photo of Great Palace Mosaic Museum? Please answer yes or no.	No	Yes
landmark	0d70bceb2557d1f4.txt	Is this an image of Manta Rota? Please answer yes or no.	No	Yes
landmark	07551cf96af77299.txt	Is this a photo of Friedhof Wilmersdorf? Please answer yes or no.	Yes	No
landmark	01d9bef0120557a5.txt	Is this a photo of Andronikov Monastery? Please answer yes or no.	Yes	No
landmark	03aa5dd2e3aab548.txt	Is this a photo of Central Police Station? Please answer yes or no.	Yes	No
landmark	01f23b4c5253e9c6.txt	Is this a picture of Goethes Gartenhaus? Please answer yes or no.	Yes	No
landmark	09ae0628a75e4fcc.txt	Is this a picture of Salvation Army in Canada? Please answer yes or no.	No	Yes
landmark	0cc5201e37961a1d.txt	Is this a photo of Leopoldspark? Please answer yes or no.	No	Yes
landmark	02598153523880aa.txt	Is this a photo of Madliena, Malta? Please answer yes or no.	No	Yes
landmark	01928acd6dfe6cdd.txt	Is this a picture of Watergate Bay? Please answer yes or no.	Yes	No
landmark	0ba6fa7ade050d49.txt	Is this a photo of Waiola Church? Please answer yes or no.	No	Yes
landmark	01114538f95f1ce8.txt	Is this a picture of Bistrica, Ionian Sea? Please answer yes or no.	No	Yes
landmark	04b6c84ce89461ec.txt	Is this an image of Park HaMesila? Please answer yes or no.	No	Yes
landmark	002ae473a76362a6.txt	Is this an image of Schmiedebruch (Naturschutzgebiet)? Please answer yes or no.	No	Yes
landmark	1d4be36153741972.txt	Is this a picture of Marie Guyart Building? Please answer yes or no.	Yes	No
landmark	012ea376a16f17bf.txt	Is this a picture of Pfarrkirche St. Martin an der Raab? Please answer yes or no.	No	Yes
landmark	0cd8fda9668b3ed2.txt	Is this a picture of Kalayar Kovil? Please answer yes or no.	No	Yes
landmark	0d23f6c345b68c05.txt	Is this an image of Monte Olivia? Please answer yes or no.	Yes	No
landmark	08442f24f3c25565.txt	Is this a photo of Abdijkerk Loosduinen? Please answer yes or no.	Yes	No
landmark	02785530b6ac4f56.txt	Is this a picture of Razula? Please answer yes or no.	No	Yes
landmark	03729394d18f7e9a.txt	Is this an image of Saint Nikolaus Church (Beuster)? Please answer yes or no.	No	Yes
landmark	041da60e053c5906.txt	Is this a picture of Mas Cabrafiga? Please answer yes or no.	No	Yes
landmark	09b7acf87c8046ec.txt	Is this an image of Church of the Epiphany (Yaroslavl)? Please answer yes or no.	Yes	No
landmark	05bcf05b4460d2c3.txt	Is this an image of Mode Gakuen Cocoon Tower? Please answer yes or no.	No	Yes
landmark	05c3aa404351f407.txt	Is this an image of Pieve di Santa Maria a Carli? Please answer yes or no.	No	Yes
landmark	1053f4cebfceabd8.txt	Is this an image of Kirchenbibliothek St. Marien Barth? Please answer yes or no.	No	Yes
numerical_calculation	0020.txt	Is the answer to the arithmetic question in the image 9? Please answer yes or no.	Yes	No
numerical_calculation	0013.txt	Is the area of the right triangle in the picture equal to 24? Please answer yes or no.	Yes	No
numerical_calculation	0013.txt	Is the area of the right triangle in the picture equal to 8? Please answer yes or no.	No	Yes
numerical_calculation	0009.txt	Should the value of "a" in the picture equal 2? Please answer yes or no.	Yes	No
numerical_calculation	0009.txt	Should the value of "a" in the picture equal 3? Please answer yes or no.	No	Yes
numerical_calculation	0003.txt	Is the answer to the arithmetic question in the image 65? Please answer yes or no.	Yes	No
numerical_calculation	0007.txt	Is the answer to the arithmetic question in the image 49? Please answer yes or no.	Yes	No
numerical_calculation	0015.txt	Is the answer to the arithmetic question in the image 11? Please answer yes or no.	Yes	No
numerical_calculation	0019.txt	Is the answer to the arithmetic question in the image 18? Please answer yes or no.	Yes	No
numerical_calculation	0019.txt	Is the answer to the arithmetic question in the image 36? Please answer yes or no.	No	Yes
numerical_calculation	0012.txt	Should the value of "a" in the picture equal 9? Please answer yes or no.	Yes	No
numerical_calculation	0012.txt	Should the value of "a" in the picture equal 1? Please answer yes or no.	No	Yes
numerical_calculation	0002.txt	Is the answer to the arithmetic question in the image 340? Please answer yes or no.	Yes	No
numerical_calculation	0002.txt	Is the answer to the arithmetic question in the image 17? Please answer yes or no.	No	Yes
numerical_calculation	0005.txt	Is the area of the square in the picture equal to 40? Please answer yes or no.	Yes	No
numerical_calculation	0006.txt	Is the area of the square in the picture equal to 9? Please answer yes or no.	Yes	No
numerical_calculation	0006.txt	Is the area of the square in the picture equal to 3? Please answer yes or no.	No	Yes
numerical_calculation	0001.txt	Is the answer to the arithmetic question in the image 225? Please answer yes or no.	Yes	No
numerical_calculation	0016.txt	Is the answer to the arithmetic question in the image 9? Please answer yes or no.	Yes	No
numerical_calculation	0011.txt	Is the area of the parallelogram in the picture equal to 24? Please answer yes or no.	Yes	No
numerical_calculation	0011.txt	Is the area of the parallelogram in the picture equal to 6? Please answer yes or no.	No	Yes
numerical_calculation	0004.txt	Is the answer to the arithmetic question in the image 33? Please answer yes or no.	Yes	No
numerical_calculation	0008.txt	Should the value of "a" in the picture equal 7? Please answer yes or no.	Yes	No
position	000000472046.txt	Is the pineapple on the left of the pot in the image? Please answer yes or no.	Yes	No
position	000000472046.txt	Is the pineapple on the right of the pot in the image? Please answer yes or no.	No	Yes
position	000000530162.txt	Is the big red and black umbrella under people? Please answer yes or no.	No	Yes
position	000000097994.txt	Is the light under the computer in the image? Please answer yes or no.	No	Yes
position	000000212800.txt	Is the blue umbrella above the black umbrella? Please answer yes or no.	No	Yes
position	000000477955.txt	Is the person under the kite? Please answer yes or no.	Yes	No
position	000000477955.txt	Is the person above the kite? Please answer yes or no.	No	Yes
position	000000031248.txt	Is there a sofa in the middle of potted plants in the image? Please answer yes or no.	Yes	No
position	000000031248.txt	Is there a sofa in the right side of potted plants in the image? Please answer yes or no.	No	Yes
position	000000211825.txt	Is the cake on the left side of the camera? Please answer yes or no.	Yes	No
position	000000211825.txt	Is the cake on the right side of the camera? Please answer yes or no.	No	Yes
position	000000395801.txt	Is the clock under people? Please answer yes or no.	No	Yes
position	000000062808.txt	Is the phone under the pizza in the image? Please answer yes or no.	No	Yes
position	000000450303.txt	Is the monitor on top of a person? Please answer yes or no.	Yes	No
position	000000509699.txt	Is the mirror under the TV? Please answer yes or no.	No	Yes
position	000000056127.txt	Is the light under the fire hydrant in the image?  Please answer yes or no.	No	Yes
position	000000578922.txt	Is the vase on the right of the toothbrush? Please answer yes or no.	No	Yes
posters	tt1403865.txt	Is this movie directed by ethan coen,joel coen? Please answer yes or no.	Yes	No
posters	tt1403865.txt	Is this movie directed by john hillcoat? Please answer yes or no.	No	Yes
posters	tt5688868.txt	Is this movie titled primal rage: the legend of konga (2018)? Please answer yes or no.	Yes	No
posters	tt3495026.txt	Is this movie titled from afar (2015)? Please answer yes or no.	No	Yes
posters	tt0100112.txt	Is this movie originated from the country or region of france? Please answer yes or no.	Yes	france
posters	tt0443680.txt	Is this movie originated from the country or region of germany? Please answer yes or no.	No	Yes
posters	tt0100935.txt	Is this movie originated from the country or region of usa? Please answer yes or no.	Yes	No
posters	tt0086250.txt	Is this movie directed by brian de palma? Please answer yes or no.	Yes	No
posters	tt0101889.txt	Is this movie titled the fisher king (1991)? Please answer yes or no.	Yes	No
posters	tt0096463.txt	Is this movie directed by cary joji fukunaga? Please answer yes or no.	No	Yes
posters	tt0074749.txt	Is this movie originated from the country or region of usa? Please answer yes or no.	Yes	No
posters	tt0118655.txt	Is this movie directed by jay roach? Please answer yes or no.	Yes	No
posters	tt2132285.txt	Is this movie titled tropic thunder (2008)? Please answer yes or no.	No	Yes
posters	tt0462499.txt	Is this movie titled walking tall (2004)? Please answer yes or no.	No	Yes
posters	tt0096446.txt	Is this movie directed by ron howard? Please answer yes or no.	Yes	No
posters	tt1971325.txt	Is this movie originated from the country or region of bulgaria? Please answer yes or no.	Yes	No
posters	tt0097576.txt	Is this movie directed by steven spielberg? Please answer yes or no.	Yes	No
posters	tt0114388.txt	Is this movie directed by ang lee? Please answer yes or no.	Yes	No
posters	tt1057500.txt	Is this movie directed by clint eastwood? Please answer yes or no.	Yes	No
posters	tt1722484.txt	Is this movie directed by hermine huntgeburth? Please answer yes or no.	Yes	No
posters	tt1124037.txt	Is this movie directed by gary ross? Please answer yes or no.	Yes	No
posters	tt0067185.txt	Is this movie directed by hal ashby? Please answer yes or no.	Yes	No
posters	tt0264395.txt	Is this movie originated from the country or region of germany? Please answer yes or no.	Yes	No
posters	tt0351977.txt	Is this movie directed by kevin bray? Please answer yes or no.	Yes	No
posters	tt0099653.txt	Is this movie directed by jerry zucker? Please answer yes or no.	Yes	No
posters	tt0067116.txt	Is this movie originated from the country or region of uk? Please answer yes or no.	No	Yes
posters	tt0399201.txt	Is this movie directed by michael bay? Please answer yes or no.	Yes	No
posters	tt0338751.txt	Is this movie directed by martin scorsese? Please answer yes or no.	Yes	No
posters	tt0084787.txt	Is this movie titled jay and silent bob strike back (2001)? Please answer yes or no.	No	Yes
posters	tt3700804.txt	Is this movie originated from the country or region of uk? Please answer yes or no.	No	uk
posters	tt3860916.txt	Is this movie directed by ben howling? Please answer yes or no.	Yes	No
posters	tt1606378.txt	Is this movie originated from the country or region of uk? Please answer yes or no.	No	Yes
posters	tt0369702.txt	Is this movie originated from the country or region of france? Please answer yes or no.	No	Yes
posters	tt0163025.txt	Is this movie directed by joe johnston? Please answer yes or no.	Yes	No
posters	tt0195714.txt	Is this movie directed by james wong? Please answer yes or no.	Yes	No
posters	tt0266697.txt	Is this movie directed by quentin tarantino? Please answer yes or no.	Yes	No
posters	tt5726086.txt	Is this movie directed by adam robitel? Please answer yes or no.	Yes	No
posters	tt5726086.txt	Is this movie directed by gore verbinski? Please answer yes or no.	No	Yes
posters	tt0373469.txt	Is this movie directed by shane black? Please answer yes or no.	Yes	No
scene	Places365_val_00000010.txt	Does this image describe a place of shopping mall indoor? Please answer yes or no.	Yes	No
scene	Places365_val_00000089.txt	Is this photo taken in a place of martial arts gym? Please answer yes or no.	Yes	No
scene	Places365_val_00000082.txt	Is this photo taken in a place of recreation room? Please answer yes or no.	No	Yes
scene	Places365_val_00000076.txt	Is this photo taken in a place of bakery shop? Please answer yes or no.	Yes	No
scene	Places365_val_00000190.txt	Is this picture captured in a place of pizzeria? Please answer yes or no.	Yes	No
scene	Places365_val_00000193.txt	Is this picture captured in a place of ice floe? Please answer yes or no.	Yes	No
scene	Places365_val_00000193.txt	Is this picture captured in a place of closet? Please answer yes or no.	No	Yes
scene	Places365_val_00000144.txt	Is this picture captured in a place of vineyard? Please answer yes or no.	Yes	No
scene	Places365_val_00000001.txt	Is this picture captured in a place of greenhouse indoor? Please answer yes or no.	Yes	No
scene	Places365_val_00000078.txt	Is this picture captured in a place of fire escape? Please answer yes or no.	No	Yes
scene	Places365_val_00000070.txt	Is this picture captured in a place of bazaar indoor? Please answer yes or no.	No	Yes
scene	Places365_val_00000115.txt	Is this picture captured in a place of zen garden? Please answer yes or no.	Yes	No
scene	Places365_val_00000141.txt	Does this image describe a place of roof garden? Please answer yes or no.	Yes	No
scene	Places365_val_00000028.txt	Is this picture captured in a place of lecture room? Please answer yes or no.	Yes	No
scene	Places365_val_00000166.txt	Is this photo taken in a place of dorm room? Please answer yes or no.	Yes	No
scene	Places365_val_00000071.txt	Is this picture captured in a place of youth hostel? Please answer yes or no.	Yes	No
scene	Places365_val_00000120.txt	Is this photo taken in a place of legislative chamber? Please answer yes or no.	Yes	No
scene	Places365_val_00000069.txt	Is this picture captured in a place of mausoleum? Please answer yes or no.	Yes	No
scene	Places365_val_00000069.txt	Is this picture captured in a place of alcove? Please answer yes or no.	No	Yes
scene	Places365_val_00000050.txt	Is this picture captured in a place of zen garden? Please answer yes or no.	Yes	No
scene	Places365_val_00000112.txt	Does this image describe a place of bus station indoor? Please answer yes or no.	Yes	No
scene	Places365_val_00000109.txt	Is this photo taken in a place of nursing home? Please answer yes or no.	Yes	No
scene	Places365_val_00000085.txt	Is this photo taken in a place of pavilion? Please answer yes or no.	No	Yes
scene	Places365_val_00000125.txt	Is this picture captured in a place of biology laboratory? Please answer yes or no.	Yes	No
scene	Places365_val_00000105.txt	Is this picture captured in a place of train interior? Please answer yes or no.	Yes	No
scene	Places365_val_00000060.txt	Is this photo taken in a place of subway station platform? Please answer yes or no.	No	Yes
scene	Places365_val_00000157.txt	Is this picture captured in a place of swamp? Please answer yes or no.	Yes	No
scene	Places365_val_00000080.txt	Is this photo taken in a place of escalator indoor? Please answer yes or no.	Yes	No
scene	Places365_val_00000059.txt	Is this photo taken in a place of hangar outdoor? Please answer yes or no.	No	Yes
scene	Places365_val_00000171.txt	Is this picture captured in a place of greenhouse outdoor? Please answer yes or no.	Yes	greenhouse
scene	Places365_val_00000146.txt	Does this image describe a place of industrial area? Please answer yes or no.	No	Yes
scene	Places365_val_00000049.txt	Is this picture captured in a place of ski slope? Please answer yes or no.	No	Yes
scene	Places365_val_00000034.txt	Does this image describe a place of racecourse? Please answer yes or no.	Yes	No
scene	Places365_val_00000034.txt	Does this image describe a place of galley? Please answer yes or no.	No	Yes
scene	Places365_val_00000013.txt	Is this picture captured in a place of beach house? Please answer yes or no.	Yes	No
scene	Places365_val_00000181.txt	Does this image describe a place of general store outdoor? Please answer yes or no.	Yes	No
scene	Places365_val_00000128.txt	Is this photo taken in a place of viaduct? Please answer yes or no.	No	Yes
scene	Places365_val_00000118.txt	Is this photo taken in a place of laundromat? Please answer yes or no.	Yes	No
scene	Places365_val_00000068.txt	Is this photo taken in a place of kasbah? Please answer yes or no.	Yes	No
scene	Places365_val_00000084.txt	Does this image describe a place of greenhouse outdoor? Please answer yes or no.	No	Yes
scene	Places365_val_00000039.txt	Is this picture captured in a place of auto factory? Please answer yes or no.	Yes	No
scene	Places365_val_00000033.txt	Is this photo taken in a place of florist shop indoor? Please answer yes or no.	Yes	No
scene	Places365_val_00000185.txt	Is this picture captured in a place of supermarket? Please answer yes or no.	Yes	No
scene	Places365_val_00000151.txt	Does this image describe a place of lagoon? Please answer yes or no.	Yes	No
scene	Places365_val_00000099.txt	Does this image describe a place of physics laboratory? Please answer yes or no.	Yes	No
scene	Places365_val_00000099.txt	Does this image describe a place of stage indoor? Please answer yes or no.	No	Yes
scene	Places365_val_00000002.txt	Is this photo taken in a place of wet bar? Please answer yes or no.	Yes	No
scene	Places365_val_00000002.txt	Is this photo taken in a place of stage indoor? Please answer yes or no.	No	stage
scene	Places365_val_00000178.txt	Is this photo taken in a place of youth hostel? Please answer yes or no.	Yes	No
scene	Places365_val_00000178.txt	Is this photo taken in a place of hangar indoor? Please answer yes or no.	No	Yes
scene	Places365_val_00000035.txt	Is this photo taken in a place of kennel outdoor? Please answer yes or no.	Yes	No
scene	Places365_val_00000135.txt	Is this picture captured in a place of islet? Please answer yes or no.	Yes	islet
scene	Places365_val_00000063.txt	Does this image describe a place of doorway outdoor? Please answer yes or no.	No	Yes
scene	Places365_val_00000179.txt	Does this image describe a place of hot spring? Please answer yes or no.	Yes	No
scene	Places365_val_00000121.txt	Is this photo taken in a place of berth? Please answer yes or no.	No	Yes
scene	Places365_val_00000170.txt	Is this picture captured in a place of pharmacy? Please answer yes or no.	Yes	No
scene	Places365_val_00000122.txt	Is this photo taken in a place of hayfield? Please answer yes or no.	Yes	No
scene	Places365_val_00000040.txt	Is this picture captured in a place of beach? Please answer yes or no.	Yes	No
scene	Places365_val_00000148.txt	Is this photo taken in a place of apartment building outdoor? Please answer yes or no.	No	apartment building
scene	Places365_val_00000168.txt	Does this image describe a place of airplane cabin? Please answer yes or no.	Yes	No
text_translation	0009.txt	Is it appropriate to translate the Chinese in the image into English 'creative people' in the picture? Please answer yes or no.	Yes	No
text_translation	0003.txt	Is it appropriate to translate the Chinese in the image into English 'sunny weather' in the picture? Please answer yes or no.	Yes	No
text_translation	0003.txt	Is it appropriate to translate the Chinese in the image into English 'cold weather' in the picture? Please answer yes or no.	No	Yes
text_translation	0017.txt	Is it appropriate to translate the Chinese in the image into English 'delicious fruit' in the picture? Please answer yes or no.	Yes	No
text_translation	0012.txt	Is it appropriate to translate the Chinese in the image into English 'difficult and dangerous' in the picture? Please answer yes or no.	No	Yes
text_translation	0002.txt	Is it appropriate to translate the Chinese in the image into English 'a delicious dinner' in the picture? Please answer yes or no.	Yes	No
text_translation	0005.txt	Is it appropriate to translate the Chinese in the image into English 'feeling happy' in the picture? Please answer yes or no.	Yes	No
text_translation	0005.txt	Is it appropriate to translate the Chinese in the image into English 'feeling bored' in the picture? Please answer yes or no.	No	Yes
text_translation	0001.txt	Is it appropriate to translate the Chinese in the image into English 'classic taste' in the picture? Please answer yes or no.	Yes	No
text_translation	0008.txt	Is it appropriate to translate the Chinese in the image into English 'very thankful' in the picture? Please answer yes or no.	No	Yes
text_translation	0010.txt	Is it appropriate to translate the Chinese in the image into English 'a beautiful garden' in the picture? Please answer yes or no.	Yes	No
